GeneName	Fruits_6cm	Cotyledons	Pistils	Flowers	Buds_Opened	Buds_0.7cm	Leaves	Stems	Radicles	Roots
SmelCyclo01	913075.6875	980609.625	944398.625	946417.125	873296	852080.0625	975742.4375	978411.8125	953023.4375	962139
SmelGIF_03	31237.28711	6515.319824	9507.624023	10233.44238	13373.3125	18719.91602	3575.207275	10951.49023	6456.147461	12524.09668
SmelGIF_04	10590.63281	3548.167236	8362.714844	5323.236328	10626.09766	11948.40332	13467.65039	6463.544434	10252.25488	9337.344727
SmelGIF_11.070	20648.97852	3003.300049	25052.89063	14387.67578	26416.26953	46585.85938	1351.027222	0	5451.252441	3254.4646
SmelGIF_11.650	0	0	0	565.121887	2438.912598	11000.08691	0	0	1623.548706	409.342163
